DUID,BIDTYPE,IS_AUTOBIDDER,n_offers,avg_std_across_bands,total_distinct_values,std_pb1,std_pb5,std_pb10,n_distinct_pb1,n_distinct_pb5,n_distinct_pb10
CHBESS1,LOWER6SEC,False,7210,50.27913563683538,24,0.0,12.69341968781834,46.63105841627044,1,3,2
DALNTH1,LOWER6SEC,False,26,0.0,10,0.0,0.0,0.0,1,1,1
DPNTB1,LOWER6SEC,False,8932,0.0,10,0.0,0.0,0.0,1,1,1
GANNB1,LOWER6SEC,False,8969,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,LOWER6SEC,False,7758,45.089236439640764,22,0.0,12.531386207773544,0.0,1,3,1
HBESS1,LOWER6SEC,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
HVWWBA1,LOWER6SEC,False,5822,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,LOWER6SEC,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,LOWER6SEC,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,LOWER6SEC,False,7487,46.86888983737584,29,0.0,0.16551651824037747,463.20520874729607,1,3,2
MREHA1,LOWER6SEC,False,6716,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,LOWER6SEC,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,LOWER6SEC,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,LOWER6SEC,False,7312,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,LOWER6SEC,False,2593,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,LOWER6SEC,False,8448,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,LOWER6SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,LOWER6SEC,False,7919,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,LOWER6SEC,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,LOWER6SEC,False,7091,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,LOWER6SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,LOWER6SEC,False,1726,1078.9814516024212,20,0.10815802278187804,8.913712912023742,7475.584167724012,2,2,2
ADPBA1,LOWERREG,False,11664,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,LOWERREG,False,17968,0.10200283849782665,19,0.0,0.025000695710251035,0.5000139142050148,1,2,2
BLYTHB1,LOWERREG,False,514,74.21823187295004,18,0.0,16.215781786499484,0.0,1,2,1
BOWWBA1,LOWERREG,False,11668,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,LOWERREG,False,15900,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,LOWERREG,False,7558,265.77997353581605,19,0.0,4.276354902143798,2586.459193076953,1,2,2
CBWWBA1,LOWERREG,False,11650,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,LOWERREG,False,14390,49.97532041338148,22,0.0,12.680447828898897,0.0,1,3,1
DPNTB1,LOWERREG,False,17876,0.10200285310695352,19,0.0,0.025000699290919512,0.5000139858183802,1,2,2
